Sample in Buffer,Sample in Window,TRIGGER,fircomp_bd_i/system_ila_0/inst/probe0_1[17:0],fircomp_bd_i/system_ila_0/inst/probe1_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED
1071,1071,0,62,229
1072,1072,0,62,-571
1073,1073,0,41,-103
1074,1074,0,41,438
1075,1075,0,41,-128
1076,1076,0,41,480
1077,1077,0,41,-102
1078,1078,0,41,152
1079,1079,0,41,649
1080,1080,0,41,-3
1081,1081,0,41,500
1082,1082,0,41,226
1083,1083,0,4,175
1084,1084,0,4,247
1085,1085,0,4,696
1086,1086,0,4,-43
1087,1087,0,4,669
1088,1088,0,4,195
1089,1089,0,4,-48
1090,1090,0,4,450
1091,1091,0,4,-114
1092,1092,0,4,-104
1093,1093,0,-35,726
1094,1094,0,-35,-635
1095,1095,0,-35,422
1096,1096,0,-35,495
1097,1097,0,-35,385
1098,1098,0,-35,-625
1099,1099,0,-35,420
1100,1100,0,-35,-266
1101,1101,0,-35,467
1102,1102,0,-35,-356
1103,1103,0,-61,436
1104,1104,0,-61,765
1105,1105,0,-61,182
1106,1106,0,-61,-30
1107,1107,0,-61,682
1108,1108,0,-61,-119
1109,1109,0,-61,430
1110,1110,0,-61,-359
1111,1111,0,-61,-269
1112,1112,0,-61,732
1113,1113,0,-64,-125
1114,1114,0,-64,132
1115,1115,0,-64,420
1116,1116,0,-64,-21
1117,1117,0,-64,-560
1118,1118,0,-64,459
1119,1119,0,-64,-513
1120,1120,0,-64,-546
1121,1121,0,-64,-124
1122,1122,0,-64,-117
1123,1123,0,-41,-830
1124,1124,0,-41,-333
1125,1125,0,-41,154
1126,1126,0,-41,-87
1127,1127,0,-41,711
1128,1128,0,-41,181
1129,1129,0,-41,480
1130,1130,0,-41,465
1131,1131,0,-41,-835
1132,1132,0,-41,170
1133,1133,0,-2,-787
1134,1134,0,-2,-581
1135,1135,0,-2,-810
1136,1136,0,-2,174
1137,1137,0,-2,151
1138,1138,0,-2,-787
1139,1139,0,-2,755
1140,1140,0,-2,734
1141,1141,0,-2,755
1142,1142,0,-2,652
1143,1143,0,38,-810
1144,1144,0,38,-73
1145,1145,0,38,-125
1146,1146,0,38,227
1147,1147,0,38,136
1148,1148,0,38,-108
1149,1149,0,38,-525
1150,1150,0,38,730
1151,1151,0,38,231
1152,1152,0,38,-382
1153,1153,0,64,172
1154,1154,0,64,136
1155,1155,0,64,-279
1156,1156,0,64,-30
1157,1157,0,64,-63
